OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y,standard_name,runway_length_m,runway_width_m,runway_capacity,continent_name,hub_priority_score,distance_from_ams_km,strategic_distance
75760,27040,YLTN,small_airport,Laverton Airport,-28.614267,122.428673,1530.0,OC,AU,AU-WA,Laverton,yes,YLTN,LVO,nan,nan,https://en.wikipedia.org/wiki/Laverton_Airport,nan,CTAF,126.8,5906.0,98.0,ASP,1.0,0.0,13628697.5369,-3326641.8771,Laverton,1800.1488000000002,29.8704,small,Oceania,2,14324.980417023167,global
75774,32503,YMAA,small_airport,Mabuiag Island Airport,-9.950168,142.19523,,OC,AU,AU-QLD,Mabuiag Island,yes,YMAA,UBB,nan,nan,https://en.wikipedia.org/wiki/Mabuiag_Island_Airport,nan,CTAF,120.327,1312.0,,N,0.0,0.0,15829100.5968,-1113257.5575,Mabuiag Island,399.8976,,small,Oceania,2,13939.789327334762,global
75777,31993,YMAE,small_airport,Murray Island Airport,-9.915105,144.054644,300.0,OC,AU,AU-QLD,Murray Island,yes,YMAE,MYI,nan,nan,https://en.wikipedia.org/wiki/Murray_Island_Airport,"Mer Island, Maer Island",CTAF,122.1,1722.0,,G,0.0,0.0,16036089.6165,-1109294.9678,Murray Island,524.8656,,small,Oceania,2,14038.574341973239,global
75782,27043,YMAV,medium_airport,Avalon Airport,-38.039398,144.468994,35.0,OC,AU,AU-VIC,Lara,yes,YMAV,AVV,nan,https://www.avalonairport.com.au/,https://en.wikipedia.org/wiki/Avalon_Airport,"Lara, Geelong",ATIS,116.1,10000.0,148.0,ASP,1.0,0.0,16082214.8475,-4584992.9249,Avalon,3048.0,45.110400000000006,large,Oceania,5,16529.404411890977,global
75783,27044,YMAY,medium_airport,Albury Airport,-36.066758,146.959148,539.0,OC,AU,AU-NSW,Albury,yes,YMAY,ABX,nan,nan,https://en.wikipedia.org/wiki/Albury_Airport,nan,ATIS,115.6,6234.0,98.0,ASP,1.0,0.0,16359417.5228,-4309811.0622,Albury,1900.1232,29.8704,small,Oceania,3,16547.021647313784,global
75813,27050,YMEK,medium_airport,Meekatharra Airport,-26.6117000579834,118.547996520996,1713.0,OC,AU,AU-WA,nan,yes,YMEK,MKR,nan,nan,https://en.wikipedia.org/wiki/Meekatharra_Airport,nan,CTAF,126.7,7156.0,98.0,ASP,1.0,0.0,13196702.6073,-3075042.0008,Meekatharra,2181.1488,29.8704,medium,Oceania,4,13900.187652340117,global
75815,27051,YMEN,medium_airport,Melbourne Essendon Airport,-37.7281,144.901993,282.0,OC,AU,AU-VIC,Essendon Fields,yes,YMEN,MEB,nan,http://www.essendonairport.com.au/,https://en.wikipedia.org/wiki/Essendon_Airport,nan,APP,132.0,6302.0,148.0,ASP,1.0,0.0,16130416.0757,-4541086.3487,Melbourne Essendon,1920.8496,45.110400000000006,small,Oceania,3,16535.669088542287,global
75818,27052,YMER,medium_airport,Merimbula Airport,-36.9085998535,149.901000977,7.0,OC,AU,AU-NSW,Merimbula,yes,YMER,MIM,nan,nan,https://en.wikipedia.org/wiki/Merimbula_Airport,nan,CTAF,126.7,5256.0,98.0,ASP,1.0,0.0,16686903.0982,-4426374.4314,Merimbula,1602.0288,29.8704,small,Oceania,3,16802.172096074846,global
75824,27054,YMGB,small_airport,Milingimbi Airport,-12.0944004059,134.893997192,53.0,OC,AU,AU-NT,Milingimbi Island,yes,YMGB,MGT,nan,nan,https://en.wikipedia.org/wiki/Milingimbi_Airport,nan,CTAF,127.5,4626.0,60.0,PER,1.0,0.0,15016331.0785,-1356453.6685,Milingimbi,1410.0048000000002,18.288,small,Oceania,2,13714.887418418735,global
75825,27055,YMGD,medium_airport,Maningrida Airport,-12.0560998917,134.23399353,123.0,OC,AU,AU-NT,Maningrida,yes,YMGD,MNG,nan,nan,https://en.wikipedia.org/wiki/Maningrida_Airport,nan,CTAF,127.5,5020.0,98.0,ASP,1.0,0.0,14942859.8069,-1352093.6026,Maningrida,1530.096,29.8704,small,Oceania,3,13671.07396088394,global
