iata_code,name,standard_name,type,latitude_deg,longitude_deg,elevation_ft,continent_name,iso_country,iso_region,municipality,runway_length_m,runway_width_m,runway_capacity,hub_priority_score,distance_from_ams_km,strategic_distance
IZT,Aeropuerto Nacional General Antonio Cárdenas Rodríguez,Aeropuerto Nacional General Antonio Cárdenas Rodríguez,medium_airport,16.438915,-95.090328,164.0,,MX,MX-OAX,Ixtepec,2328.672,45.110400000000006,medium,4,9225.280571270063,global
HUZ,Huizhou Pingtan Airport,Huizhou Pingtan,medium_airport,23.049999,114.599998,50.0,Asia,CN,CN-44,Huizhou (Pingtan),2399.9952000000003,,medium,4,9236.582723586884,global
CUL,Bachigualato Federal International Airport,Bachigualato Federal,medium_airport,24.76504,-107.475228,108.0,,MX,MX-SIN,Culiacán,2300.0208000000002,45.110400000000006,medium,4,9237.01284777629,global
LMM,Valle del Fuerte International Airport,Valle del Fuerte,medium_airport,25.685447,-109.081055,16.0,,MX,MX-SIN,Los Mochis,2000.0976,45.110400000000006,medium,4,9243.919572221594,global
KCZ,Kochi Ryoma Airport,Kochi Ryoma,medium_airport,33.546101,133.669006,42.0,Asia,JP,JP-39,Nankoku,2500.2744000000002,45.110400000000006,medium,4,9247.574399236779,global
GYN,Santa Genoveva Airport,Santa Genoveva,medium_airport,-16.632,-49.220699,2450.0,South America,BR,BR-GO,Goiânia,2286.0,45.110400000000006,medium,4,9265.701695335161,global
IBR,Ibaraki Airport / JASDF Hyakuri Air Base,Ibaraki / JASDF Hyakuri Air Base,medium_airport,36.181099,140.414993,105.0,Asia,JP,JP-08,Omitama,2700.5280000000002,45.72,medium,4,9267.291026877552,global
OAX,Aeropuerto Internacional Xoxocotlán,Aeropuerto Internacional Xoxocotlán,medium_airport,17.000814,-96.72197,4989.0,,MX,MX-OAX,Oaxaca,2449.9824000000003,45.110400000000006,medium,4,9280.429091608861,global
BFN,Bram Fischer International Airport,Bram Fischer,medium_airport,-29.092699,26.302401,4457.0,Africa,ZA,ZA-FS,Bloemfontain,2559.1008,46.0248,medium,4,9294.31966280977,global
KMI,Miyazaki Airport,Miyazaki,medium_airport,31.877199173,131.449005127,20.0,Asia,JP,JP-45,Miyazaki,2499.36,45.72,medium,4,9308.637025542055,global
