iata_code,month,monthly_flights
AT_LOWS_TR_LTFM,2024-02,582929713533973738713533973738951247564756
AT_LOWS_TR_LTFM,2024-03,6231317142357435687142357435681042452125212
AT_LOWS_UK_EGCC,2024-01,512526750336363867768838213867965947354924
AT_LOWS_UK_EGCC,2024-02,482424744436883756744436883756908845444544
AT_LOWS_UK_EGCC,2024-03,401921598527503235598527503235762536244001
AT_LOWS_UK_EGGW,2024-01,147717567979591756797959254412721272
AT_LOWS_UK_EGGW,2024-02,422121547627012775547627012775839241964196
AT_LOWS_UK_EGGW,2024-03,381919459520962499459520962499782839143914
AT_LOWS_UK_EGKK,2024-01,145727319428955298761938195529829253681263512733
AT_LOWS_UK_EGKK,2024-02,1829191252701265012620254411282112620319881599415994
AT_LOWS_UK_EGKK,2024-03,20099101260491270213347260491270213347338361672817108
AT_LOWS_UK_EGLL,2024-01,392019457222922280461422922322675634683288
AT_LOWS_UK_EGLL,2024-02,442222567228502822567228502822758237913791
AT_LOWS_UK_EGLL,2024-03,482424628631573129628631573129809940504049
AT_LOWS_UK_EGSS,2024-01,804040124966068642812496606864281510275517551
AT_LOWS_UK_EGSS,2024-02,743737121836112607112183611260711404270217021
AT_LOWS_UK_EGSS,2024-03,723537114545531592311625570259231367266447028
AT_LOWW_AE_OMAA,2024-01,1065353255231213913384255231213913384298321491414918
AT_LOWW_AE_OMAA,2024-02,1005050266491316813481266491316813481286371432514312
AT_LOWW_AE_OMAA,2024-03,1055352274721443513037274721443513037305431539415149
AT_LOWW_AE_OMDB,2024-01,1427171394401849920941394401849920941488862444924437
AT_LOWW_AE_OMDB,2024-02,1326666434652191321552434652191321552483722418924183
AT_LOWW_AE_OMDB,2024-03,1437271487682614922619487682614922619588982962329275
AT_LOWW_AL_LATI,2024-01,1206060142918181611014291818161101949097899701
AT_LOWW_AL_LATI,2024-02,1095554122796432584712279643258471827792589019
AT_LOWW_AL_LATI,2024-03,124626215872757183011587275718301217711088610885
AT_LOWW_AM_UDYZ,2024-01,653233111145660545411114566054541333365936740
AT_LOWW_AM_UDYZ,2024-02,5829299891492849639891492849631170059055795
AT_LOWW_AM_UDYZ,2024-03,733637121245826629812124582662981407569707105
AT_LOWW_AT_LOWG,2024-01,9748496044299730476044299730471110654845622
AT_LOWW_AT_LOWG,2024-02,9648486009312428856009312428851078453765408
AT_LOWW_AT_LOWG,2024-03,10151506898356433346898356433341135557465609
AT_LOWW_AT_LOWI,2024-01,1386969110775648542911077564854291554978717678
AT_LOWW_AT_LOWI,2024-02,1366868106985653504510698565350451523177487483
AT_LOWW_AT_LOWI,2024-03,12462629623532243019623532243011395771066851
AT_LOWW_BA_LQSA,2024-01,1025151105665881468510566588146851355967606799
AT_LOWW_BA_LQSA,2024-02,8743449849484550049849484550041128755325755
AT_LOWW_BA_LQSA,2024-03,964848105084940556810508494055681145356555798
AT_LOWW_BE_EBBR,2024-01,292146146298481350016348263111164714664500472494925098
AT_LOWW_BE_EBBR,2024-02,330165165362411893417307327161708215634559742794328031
AT_LOWW_BE_EBBR,2024-03,352176176419872086921118386281933819290608843043030454
AT_LOWW_BE_EBCI,2024-01,6030309272430449689272430449681090854545454
AT_LOWW_BE_EBCI,2024-02,502525833441384196833441384196909045454545
AT_LOWW_BE_EBCI,2024-03,5829299644476048849644476048841058352925291
AT_LOWW_BG_LBSF,2024-01,229114115258131406311750258131406311750354181757717841
AT_LOWW_BG_LBSF,2024-02,210104106257961277713019258501283113019324191600416415
AT_LOWW_BG_LBSF,2024-03,234117117301971487415323301971487415323380161898019036
AT_LOWW_BG_LBWN,2024-01,361818532628872439532628872439618830603128
AT_LOWW_BG_LBWN,2024-02,321616516726392528516726392528558427822802
AT_LOWW_BG_LBWN,2024-03,6030308779424345368779424345361000549815024
AT_LOWW_CA_CYUL,2024-01,271314490922232686490922232686569827432955
AT_LOWW_CA_CYUL,2024-02,251312455423142240455423142240527527432532
AT_LOWW_CA_CYUL,2024-03,402020761536213994761536213994845042214229
AT_LOWW_CA_CYYZ,2024-01,3819199241421550269241421550261046852325236
AT_LOWW_CA_CYYZ,2024-02,341717851541964319851541964319901845104508
AT_LOWW_CA_CYYZ,2024-03,422121104635071539210463507153921089854445454
