flight_number,flight_date,flight_id,airline_code,airline_name,status,origin,destination,leg_status,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_latitude,departure_longitude,scheduled_departure_time,latest_departure_time,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_latitude,arrival_longitude,scheduled_arrival_time,latest_arrival_time,estimated_arrival_time,aircraft_type,aircraft_code,scheduled_duration
1567,2025-05-18,20250518+DL+1567,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MSP,ARRIVED,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T10:00:00.000-05:00,2025-05-18T10:00:00.000-05:00,ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,2025-05-18T11:29:00.000-05:00,2025-05-18T11:29:00.000-05:00,2025-05-18T11:29:00.000-05:00,BOEING 717-200,717,PT1H29M
1567,2025-05-18,20250518+DL+1567,DL,DELTA AIR LINES INC.,ON_TIME,MSP,MSP,ARRIVED,ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,2025-05-18T12:17:00.000-05:00,2025-05-18T12:17:00.000-05:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T13:50:00.000-05:00,2025-05-18T13:50:00.000-05:00,2025-05-18T13:50:00.000-05:00,BOEING 717-200,717,PT1H33M
1719,2025-05-18,20250518+DL+1719,DL,DELTA AIR LINES INC.,ON_TIME,ATL,BNA,CANCELLED,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,2025-05-18T19:25:00.000-07:00,2025-05-18T19:25:00.000-07:00,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T22:00:00.000-06:00,2025-05-18T22:00:00.000-06:00,2025-05-18T22:00:00.000-06:00,AIRBUS A321,321,PT1H35M
1719,2025-05-18,20250518+DL+1719,DL,DELTA AIR LINES INC.,ON_TIME,ATL,BNA,CANCELLED,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UNITED STATES,40.7842,-111.9669,2025-05-18T17:20:00.000-06:00,2025-05-18T17:20:00.000-06:00,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,33.4353,-112.0119,2025-05-18T18:02:00.000-07:00,2025-05-18T18:02:00.000-07:00,2025-05-18T18:02:00.000-07:00,AIRBUS A321,321,PT1H42M
1719,2025-05-18,20250518+DL+1719,DL,DELTA AIR LINES INC.,ON_TIME,ATL,BNA,ARRIVED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-17T21:00:00.000-04:00,2025-05-17T21:00:00.000-04:00,BNA,NASHVILLE INTERNATIONAL AIRPORT,NASHVILLE,UNITED STATES,36.1267,-86.6819,2025-05-17T21:07:00.000-05:00,2025-05-17T21:07:00.000-05:00,2025-05-17T21:07:00.000-05:00,BOEING 737-900 PASSENGER,739,PT1H7M
3858,2025-05-18,20250518+DL+3858,DL,DELTA AIR LINES INC.,ON_TIME,DTW,DTW,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T19:55:00.000-04:00,2025-05-18T19:55:00.000-04:00,OMA,EPPLEY AIRFIELD,OMAHA,UNITED STATES,41.3025,-95.8942,2025-05-18T20:58:00.000-05:00,2025-05-18T20:58:00.000-05:00,2025-05-18T20:58:00.000-05:00,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,CR9,PT2H3M
3858,2025-05-18,20250518+DL+3858,DL,DELTA AIR LINES INC.,ON_TIME,DTW,DTW,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-17T21:15:00.000-04:00,2025-05-17T21:15:00.000-04:00,IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.95,-77.45,2025-05-17T22:47:00.000-04:00,2025-05-17T22:47:00.000-04:00,2025-05-17T22:47:00.000-04:00,CANADAIR REGIONAL JET 900 AND CHALLENGER 890,CR9,PT1H32M
3858,2025-05-18,20250518+DL+3858,DL,DELTA AIR LINES INC.,ON_TIME,DTW,DTW,CANCELLED,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T15:15:00.000-07:00,2025-05-18T15:15:00.000-07:00,RNO,RENO/TAHOE INTERNATIONAL AIRPORT,RENO,UNITED STATES,39.4978,-119.7675,2025-05-18T16:43:00.000-07:00,2025-05-18T16:43:00.000-07:00,2025-05-18T16:43:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H28M
3858,2025-05-18,20250518+DL+3858,DL,DELTA AIR LINES INC.,ON_TIME,DTW,DTW,CANCELLED,RNO,RENO/TAHOE INTERNATIONAL AIRPORT,RENO,UNITED STATES,39.4978,-119.7675,2025-05-18T17:20:00.000-07:00,2025-05-18T17:20:00.000-07:00,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,33.9422,-118.4072,2025-05-18T18:58:00.000-07:00,2025-05-18T18:58:00.000-07:00,2025-05-18T18:58:00.000-07:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H38M
3858,2025-05-18,20250518+DL+3858,DL,DELTA AIR LINES INC.,ON_TIME,DTW,DTW,ARRIVED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T08:25:00.000-04:00,2025-05-18T08:25:00.000-04:00,MDW,MIDWAY INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.785,-87.7519,2025-05-18T08:42:00.000-05:00,2025-05-18T08:42:00.000-05:00,2025-05-18T08:42:00.000-05:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H17M
