Dest_ICAO,Flights_2023,Airport_ICAO,Passengers_2023,APT_ICAO,Avg_ATC_Delay_2023,ICAO_Code,IATA_Code,Name,Latitude,Longitude,LongestRunwayLength,LongestRunwaySurface,Type,ISO_Country,HubStatus
GCFV,541,GCFV,6009183,GCFV,11.75869716747988,GCFV,FUE,Fuerteventura Airport,28.4527,-13.8638,11598.0,ASP,large_airport,ES,Hub
GCLP,1845,GCLP,13915133,GCLP,57.561169305724725,GCLP,LPA,Gran Canaria Airport,27.9319,-15.3866,10171.0,ASP,large_airport,ES,Hub
GCRR,632,GCRR,8211804,GCRR,39.991130820399114,GCRR,ACE,César Manrique-Lanzarote Airport,28.945499,-13.6052,7874.0,ASP,large_airport,ES,Hub
GCTS,1466,GCTS,12297878,GCTS,17.59651743249086,GCTS,TFS,Tenerife Sur Airport,28.0445,-16.5725,10499.0,ASP,large_airport,ES,Hub
LBSF,720,LBSF,7166520,LBSF,23.999818632488967,LBSF,SOF,Sofia Airport,42.696357,23.417671,11811.0,ASP,large_airport,BG,Hub
LDZA,1955,LDZA,3710149,LDZA,12.247502106657036,LDZA,ZAG,Zagreb Airport,45.742901,16.0688,10669.0,ASP,large_airport,HR,Hub
LEAL,3194,LEAL,15736699,LEAL,100.81030619865571,LEAL,ALC,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,9842.0,ASP,large_airport,ES,Hub
LEBB,2143,LEBB,6330233,LEBB,8.167585684938912,LEBB,BIO,Bilbao Airport,43.301102,-2.91061,6562.0,ASP,medium_airport,ES,Hub
LEBL,8896,LEBL,49877694,LEBL,333.4013597972973,LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,8294.0,ASP,large_airport,ES,Hub
LEIB,2014,LEIB,8921053,LEIB,40.78365747022463,LEIB,IBZ,Ibiza Airport,38.872898,1.37312,9186.0,ASP,large_airport,ES,Hub
LEMD,6135,LEMD,60139313,LEMD,251.35953506018694,LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,11483.0,ASP,large_airport,ES,Hub
LEMG,4591,LEMG,22309430,LEMG,144.02908436101714,LEMG,AGP,Málaga-Costa del Sol Airport,36.6749,-4.49911,9022.0,ASP,large_airport,ES,Hub
LEPA,2274,LEPA,31100266,LEPA,236.33136804758428,LEPA,PMI,Palma de Mallorca Airport,39.551701,2.73881,10728.0,ASP,large_airport,ES,Hub
LEVC,3015,LEVC,9924948,LEVC,27.86738662538232,LEVC,VLC,Valencia Airport,39.4893,-0.481625,5394.0,ASP,medium_airport,ES,Hub
LEZL,895,LEZL,8062499,LEZL,14.261968629233916,LEZL,SVQ,Sevilla Airport,37.417999,-5.89311,11030.0,ASP,medium_airport,ES,Hub
LFBD,2000,LFBD,6602971,LFBD,20.794138946555304,LFBD,BOD,Bordeaux-Mérignac Airport,44.8283,-0.715556,10171.0,ASP,large_airport,FR,Hub
LFBO,2137,LFBO,7815379,LFBO,28.989465909974346,LFBO,TLS,Toulouse-Blagnac Airport,43.629101,1.36382,9843.0,ASP,large_airport,FR,Hub
LFLL,2537,LFLL,9985443,LFLL,37.66598798397864,LFLL,LYS,Lyon Saint-Exupéry Airport,45.725556,5.081111,8760.0,ASP,large_airport,FR,Hub
LFML,1958,LFML,10878659,LFML,38.93431571815718,LFML,MRS,Marseille Provence Airport,43.438088,5.2125,11483.0,ASP,large_airport,FR,Hub
LFMN,3355,LFMN,14197126,LFMN,92.52409377311804,LFMN,NCE,Nice-Côte d'Azur Airport,43.658401,7.21587,8622.0,ASP,large_airport,FR,Hub
LFPG,7535,LFPG,67459319,LFPG,345.2641879498526,LFPG,CDG,Charles de Gaulle International Airport,49.012798,2.55,13829.0,ASP,large_airport,FR,Hub
