id,flight_name,flight_number,airline_code,airline_code_icao,flight_direction,schedule_date,schedule_time,schedule_datetime,terminal,gate,pier,service_type,main_flight,last_updated,flight_states,destinations,eu,visa_required,estimated_landing_time,actual_landing_time,expected_time_on_belt,aircraft_type,aircraft_subtype,aircraft_registration,baggage_belts,codeshares,public_estimated_off_block_time,actual_off_block_time,checkin_desks,expected_time_gate_open,expected_time_boarding,expected_time_gate_closing
142381867308947122,AF8266,8266,AF,AFR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,2.0,,,J,KL0692,2025-05-19T07:32:01.065+02:00,"ARR, EXP",YYZ,N,False,2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,2025-05-19T06:49:35.813+02:00,330,330,,12,"AF8266, DL9699, VS7164",,,,,,
142381867747613282,DL9699,9699,DL,DAL,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,2.0,,,J,KL0692,2025-05-19T07:32:01.065+02:00,"ARR, EXP",YYZ,N,False,2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,2025-05-19T06:49:35.813+02:00,330,330,,12,"AF8266, DL9699, VS7164",,,,,,
142381870270017454,VS7164,7164,VS,VIR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,2.0,,,J,KL0692,2025-05-19T07:32:01.065+02:00,"ARR, EXP",YYZ,N,False,2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,2025-05-19T06:49:35.813+02:00,330,330,,12,"AF8266, DL9699, VS7164",,,,,,
142381867746687380,DL0132,132,DL,DAL,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0132,2025-05-19T07:32:53.102+02:00,ARR,DTW,N,False,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,2025-05-19T06:55:33.970+02:00,350,350,,16,"AF5606, KL6018, VS3929",,,,,,
142381867308653712,AF5606,5606,AF,AFR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0132,2025-05-19T07:32:53.102+02:00,ARR,DTW,N,False,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,2025-05-19T06:55:33.970+02:00,350,350,,16,"AF5606, KL6018, VS3929",,,,,,
142381868718107740,KL6018,6018,KL,KLM,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0132,2025-05-19T07:32:53.102+02:00,ARR,DTW,N,False,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,2025-05-19T06:55:33.970+02:00,350,350,,16,"AF5606, KL6018, VS3929",,,,,,
142381870269633848,VS3929,3929,VS,VIR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0132,2025-05-19T07:32:53.102+02:00,ARR,DTW,N,False,2025-05-19T05:58:21.000+02:00,2025-05-19T05:58:21.000+02:00,2025-05-19T06:55:33.970+02:00,350,350,,16,"AF5606, KL6018, VS3929",,,,,,
142381868717516624,KL0656,656,KL,KLM,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,KL0656,2025-05-19T09:23:41.097+02:00,"ARR, EXP",MSP,N,False,2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,2025-05-19T08:40:48.225+02:00,777,777,,18,"AF8469, DL9471, VS7140",,,,,,
142381867308952604,AF8469,8469,AF,AFR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,KL0656,2025-05-19T09:23:41.097+02:00,"ARR, EXP",MSP,N,False,2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,2025-05-19T08:40:48.225+02:00,777,777,,18,"AF8469, DL9471, VS7140",,,,,,
142381867747607642,DL9471,9471,DL,DAL,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,KL0656,2025-05-19T09:23:41.097+02:00,"ARR, EXP",MSP,N,False,2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,2025-05-19T08:40:48.225+02:00,777,777,,18,"AF8469, DL9471, VS7140",,,,,,
142381870270017298,VS7140,7140,VS,VIR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,KL0656,2025-05-19T09:23:41.097+02:00,"ARR, EXP",MSP,N,False,2025-05-19T07:40:28.000+02:00,2025-05-19T07:40:28.000+02:00,2025-05-19T08:40:48.225+02:00,777,777,,18,"AF8469, DL9471, VS7140",,,,,,
142381868339442405,HV5623,5623,HV,TRA,D,2025-05-19,06:05:00,2025-05-19T06:05:00.000+02:00,1.0,D86,D,J,HV5623,2025-05-19T06:27:54.312+02:00,DEP,PMI,S,False,,,,737,737,PHHXM,,KL2675,,2025-05-19T06:12:42.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717719383,KL2675,2675,KL,KLM,D,2025-05-19,06:05:00,2025-05-19T06:05:00.000+02:00,1.0,D86,D,J,HV5623,2025-05-19T06:27:54.312+02:00,DEP,PMI,S,False,,,,737,737,PHHXM,,KL2675,,2025-05-19T06:12:42.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339442775,HV5673,5673,HV,TRA,D,2025-05-19,06:10:00,2025-05-19T06:10:00.000+02:00,1.0,D83,D,J,HV5673,2025-05-19T06:23:59.613+02:00,DEP,IBZ,S,False,,,,737,737,PHHXO,,KL2681,,2025-05-19T06:09:16.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717719449,KL2681,2681,KL,KLM,D,2025-05-19,06:10:00,2025-05-19T06:10:00.000+02:00,1.0,D83,D,J,HV5673,2025-05-19T06:23:59.613+02:00,DEP,IBZ,S,False,,,,737,737,PHHXO,,KL2681,,2025-05-19T06:09:16.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339042949,HV1861,1861,HV,TRA,D,2025-05-19,06:10:00,2025-05-19T06:10:00.000+02:00,1.0,D87,D,C,HV1861,2025-05-19T06:25:56.979+02:00,DEP,"JSI, MJT",S,False,,,,737,737,PHHXA,,,,2025-05-19T06:10:46.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381867176433537,HV081,81,HV,TRA,D,2025-05-19,06:15:00,2025-05-19T06:15:00.000+02:00,,,,P,HV081,2025-05-19T06:17:54.923+02:00,DEP,RTM,S,False,,,,737,737,PHHZV,,,,2025-05-19T06:01:01.000+02:00,,,,
142381869010479952,MP6162,6162,MP,MPH,A,2025-05-19,06:15:00,2025-05-19T06:15:00.000+02:00,,,,F,MP6162,2025-05-19T06:48:01.903+02:00,"LND, EXP","BOG, MIA",N,False,2025-05-19T06:44:14.000+02:00,2025-05-19T06:44:14.000+02:00,,74F,74F,,,,,,,,,
142381868339543723,HV6629,6629,HV,TRA,D,2025-05-19,06:20:00,2025-05-19T06:20:00.000+02:00,1.0,C9,C,J,HV6629,2025-05-19T06:29:26.592+02:00,DEP,FNC,S,False,,,,737,737,PHHXG,,KL2697,,2025-05-19T06:10:17.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717719535,KL2697,2697,KL,KLM,D,2025-05-19,06:20:00,2025-05-19T06:20:00.000+02:00,1.0,C9,C,J,HV6629,2025-05-19T06:29:26.592+02:00,DEP,FNC,S,False,,,,737,737,PHHXG,,KL2697,,2025-05-19T06:10:17.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339544081,HV6673,6673,HV,TRA,D,2025-05-19,06:20:00,2025-05-19T06:20:00.000+02:00,1.0,D85,D,J,HV6673,2025-05-19T06:43:33.339+02:00,DEP,TFS,S,False,,,,32S,32S,PHYHA,,KL2599,,2025-05-19T06:25:10.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
